Data,Temperatura,TempSuperficie,RadiacaoSolarLiquida,RadiacaoTermicaLiq,FluxoCalorSensivel,FluxoCalorLatente,TempOrvalho,VentoU_LesteOeste,VentoV_NorteSul,PressaoSuperficial,VelocVento,UmidadeRelativa,PrecipTotal
2009-12-01,23.39444714797054,22.6862069704644,0,0.8707371360392832,18.420358545619816,-56.53183710463357,21.67398339647913,1.6520632022765809,1.7510846926758574,997.5581936575041,8.666666666666666,90.0728655265528,3.310767122014314
2010-01-01,27.710703848700643,28.400204133987973,229.91301608824716,-47.46445930207744,-23.426626650764877,-154.84776741166812,23.288059575649935,-0.2221354294328452,1.550162051345233,999.768825462575,9.724383960573476,78.22311198390288,126.72234746321683
2010-02-01,28.191593274334817,29.157642085955683,230.85782368713697,-56.055056110893325,-31.914370501454123,-142.82084161891527,21.81737821571914,-0.6339790909416665,1.5834993651139815,1000.3380946712165,9.75094935417575,70.70707749889121,82.3170629091762
2010-03-01,26.166852909019273,26.682391884368442,182.61719124549333,-40.98126343275708,-19.29489838916629,-121.41242988008615,22.604070046865836,-0.22806043168523638,1.6232887265325648,999.9919312160612,9.49559811827957,81.88129601906554,158.14922522513086
2010-04-01,23.464729938377477,23.632047101640318,154.1318398302383,-44.561539067813335,-13.404681375695063,-101.77718966371079,20.108493064887806,0.22737655339442342,1.1403157119706293,1003.5719092428882,9.199611021951032,82.5603852956924,194.259306452602
2010-05-01,21.558888438896304,21.395522663001383,129.1931416403153,-48.24308103551499,-9.447390455511828,-76.62576411821267,18.280419237741388,0.2460214338854647,1.1739533537255575,1003.6224827251243,7.997547043010753,82.68574693212011,48.74947126535862
2010-06-01,19.23604126097483,18.560545077856514,124.44746495391377,-57.11379529904108,-8.320899003539822,-63.70083391741545,15.673308201389805,-0.38707679946249657,1.011349371578455,1008.2020298733116,7.948171296296296,81.02781087836695,43.12872411278483
2010-07-01,20.520388082236497,20.28211590079102,128.19229868508967,-54.97983836362954,-8.402117992672917,-65.39310845469099,17.08526393053024,-0.7564121496048436,1.2744027915200054,1008.5716558298766,8.713485663082437,82.03558296178451,54.58948107341169
2010-08-01,20.098609606260634,19.953951896569933,161.7673767945247,-61.48412567201159,-18.688180977095367,-81.77481413625353,15.19128851498417,-0.06609072671660794,1.3464196373257653,1007.9727452908106,9.825739247311828,75.48128012797514,30.580847706445176
2010-09-01,21.84393727382037,22.348449347725452,168.07040520048471,-54.91425266345209,-27.167153086575137,-84.35934184495278,16.998141466169795,-0.7023214415667711,1.6100074401982418,1004.8151593253616,10.285381944444445,76.09353532093895,77.38233772465757
